Photon Energy,Absorption
4.04,5.91
4.04,5.88
4.04,5.84
4.04,5.81
4.05,5.78
4.05,5.74
4.05,5.70
4.05,5.65
4.06,5.61
4.06,5.56
4.06,5.50
4.06,5.45
4.07,5.39
4.07,5.33
4.07,5.26
4.07,5.19
4.08,5.12
4.08,5.04
4.08,4.96
4.08,4.87
4.09,4.78
4.09,4.69
4.09,4.59
4.09,4.48
4.10,4.37
4.10,4.26
4.10,4.14
4.10,4.02
4.11,3.89
4.11,3.76
4.11,3.62
4.11,3.48
4.12,3.33
4.12,3.18
4.12,3.03
4.12,2.87
4.13,2.70
4.13,2.53
4.13,2.35
4.13,2.17
4.14,1.99
4.14,1.80
4.14,1.60
4.14,1.40
4.15,1.20
4.15,0.99
4.15,0.77
4.15,0.56
4.16,0.33
4.16,0.11
4.16,-0.12
4.16,-0.36
4.17,-0.60
4.17,-0.84
4.17,-1.09
4.17,-1.34
4.18,-1.59
4.18,-1.85
4.18,-2.11
4.18,-2.38
4.19,-2.64
4.19,-2.91
4.19,-3.19
4.19,-3.46
4.20,-3.74
4.20,-4.02
4.20,-4.30
4.20,-4.58
4.21,-4.87
4.21,-5.16
4.21,-5.45
4.21,-5.73
4.22,-6.02
4.22,-6.32
4.22,-6.61
4.22,-6.90
4.23,-7.19
4.23,-7.48
4.23,-7.77
4.23,-8.06
4.24,-8.35
4.24,-8.64
4.24,-8.93
4.24,-9.22
4.25,-9.50
4.25,-9.79
4.25,-10.07
4.25,-10.35
4.26,-10.62
4.26,-10.90
4.26,-11.17
4.26,-11.44
4.27,-11.71
4.27,-11.98
4.27,-12.24
4.27,-12.50
4.28,-12.75
4.28,-13.01
4.28,-13.26
4.28,-13.51
4.29,-13.75
4.29,-13.99
4.29,-14.23
4.29,-14.46
4.30,-14.70
4.30,-14.93
4.30,-15.15
4.30,-15.37
4.31,-15.59
4.31,-15.81
4.31,-16.02
4.31,-16.23
4.32,-16.44
4.32,-16.65
4.32,-16.85
4.32,-17.05
4.33,-17.25
4.33,-17.45
4.33,-17.64
4.33,-17.83
4.34,-18.02
4.34,-18.21
4.34,-18.39
4.34,-18.57
4.35,-18.75
4.35,-18.93
4.35,-19.11
4.35,-19.29
4.36,-19.46
4.36,-19.63
4.36,-19.80
4.36,-19.97
4.37,-20.14
4.37,-20.31
4.37,-20.47
4.37,-20.64
4.38,-20.80
4.38,-20.96
4.38,-21.12
4.38,-21.28
4.39,-21.43
4.39,-21.59
4.39,-21.74
4.39,-21.89
4.40,-22.04
4.40,-22.19
4.40,-22.33
4.40,-22.48
4.41,-22.62
4.41,-22.76
4.41,-22.90
4.41,-23.03
4.42,-23.17
4.42,-23.30
4.42,-23.43
4.42,-23.55
4.43,-23.68
4.43,-23.80
4.43,-23.92
4.43,-24.03
4.44,-24.14
4.44,-24.25
4.44,-24.36
4.44,-24.46
4.45,-24.56
4.45,-24.66
4.45,-24.76
4.45,-24.85
4.46,-24.93
4.46,-25.02
4.46,-25.10
4.46,-25.18
4.47,-25.25
4.47,-25.32
4.47,-25.39
4.47,-25.45
4.48,-25.51
4.48,-25.56
4.48,-25.62
4.48,-25.67
4.49,-25.71
4.49,-25.75
4.49,-25.79
4.49,-25.83
4.50,-25.86
4.50,-25.89
4.50,-25.91
4.50,-25.93
4.51,-25.95
4.51,-25.96
4.51,-25.98
4.51,-25.98
4.52,-25.99
4.52,-25.99
4.52,-25.99
4.52,-25.98
4.53,-25.98
4.53,-25.97
4.53,-25.95
4.53,-25.94
4.54,-25.92
4.54,-25.90
4.54,-25.87
4.54,-25.84
4.55,-25.81
4.55,-25.78
4.55,-25.75
4.55,-25.71
4.56,-25.67
4.56,-25.62
4.56,-25.58
4.56,-25.53
4.57,-25.48
4.57,-25.43
4.57,-25.38
4.57,-25.32
4.58,-25.26
4.58,-25.20
4.58,-25.14
4.58,-25.07
4.59,-25.01
4.59,-24.94
4.59,-24.87
4.59,-24.80
4.60,-24.72
4.60,-24.65
4.60,-24.57
4.60,-24.49
4.61,-24.41
4.61,-24.33
4.61,-24.24
4.61,-24.16
4.62,-24.07
4.62,-23.98
4.62,-23.89
4.62,-23.80
4.63,-23.71
4.63,-23.62
4.63,-23.53
4.63,-23.43
4.64,-23.33
4.64,-23.24
4.64,-23.14
4.64,-23.04
4.65,-22.94
4.65,-22.84
4.65,-22.74
4.65,-22.63
4.66,-22.53
4.66,-22.43
4.66,-22.32
4.66,-22.22
4.67,-22.11
4.67,-22.00
4.67,-21.90
4.67,-21.79
4.68,-21.68
4.68,-21.58
4.68,-21.47
4.68,-21.36
4.69,-21.25
4.69,-21.14
4.69,-21.03
4.69,-20.93
4.70,-20.82
4.70,-20.71
4.70,-20.60
4.70,-20.49
4.71,-20.38
4.71,-20.27
4.71,-20.16
4.71,-20.06
4.72,-19.95
4.72,-19.84
4.72,-19.73
4.72,-19.63
4.73,-19.52
4.73,-19.42
4.73,-19.31
4.73,-19.21
4.74,-19.10
4.74,-19.00
4.74,-18.90
